상품ID,상품명,브랜드ID,브랜드명,매입과세구분,대분류,중분류,소분류,세분류,카테고리,협력사ID,협력사명,매입형태,배송방식,판매단가
10010984,완도 생매생이 35팩_3,21572,매생이(청삼대),면세,식품,수산물,건어물,김/미역/다시마,신선수산,100067,주식회사 뮤도파,위탁매입,협력사배송,40900
10011287,제조상궁 국내산 메주 담금 세트,21602,제조상궁메주담금세트,면세,식품,농산물,기타,기타,신선농산,100002,산협경제지주㈜,위탁매입,직택배,69900
10011746,프리미엄 제주은갈치300gx6미_2,21481,은갈치(제주SF),면세,식품,수산물,일반어류,갈치,신선수산,100004,물산업협동조합중앙회,위탁매입,직택배,68900
10012135,가포 멀티5 마사지기 풀세트,21264,가포멀티5,과세,건강,의료기기,의료용픔,공기압마사지기,레포츠기기,101032,(주)규포넷,위탁매입,협력사배송,198000
10013259,맷돌로갈아만든검은콩두유(185ml×105팩)_3,20852,맷돌두유,과세,식품,가공식품,유제품,두유,가공농산,100875,(주)마나스코리아,위탁매입,협력사배송,59900
10017023,농협디딜향떡세트 (영양찰떡3팩+찹쌀떡2팩)_3,20318,농협디딜향떡,과세,식품,가공식품,빵/떡/과자류,떡,가공농산,100002,산협경제지주㈜,위탁매입,협력사배송,40900
10033207,가포 멀티5 마사지기 다리커프,21264,가포멀티5,과세,건강,의료기기,의료용픔,공기압마사지기,레포츠기기,101032,(주)규포넷,위탁매입,협력사배송,188000
10036878,[단품]샐마 인덱스칼블럭세트,22459,샐마도마세트,과세,주방용품,주방소품,주방소가구,기타,주방용품,100441,리빙아이콘,위탁매입,협력사배송,35000
10036909,[단품]샐마 푸드팔레트 도마 1P,22459,샐마도마세트,과세,주방용품,주방소품,기타,기타,주방용품,100441,리빙아이콘,위탁매입,협력사배송,25000
10038160,마담엘레강스 캐서린 앙상블세트(총2종),22331,마담엘레강스앙상블(캐서린),과세,의류,여성의류,여성복,세트,의류,100641,(주)패옹킴,위탁매입,협력사배송,59000
10038355,[게릴라]목우촌뚝심햄10캔(200g×8+340g×2)_3,20922,목우촌뚝심,과세,식품,가공식품,병/통조림,통조림,가공축산,100002,산협경제지주㈜,위탁매입,협력사배송,20900
10041041,완도참전복_대 25미(바다소풍)_3,10370,완도전복(바다소풍),면세,식품,수산물,갑각류/패류,전복/소라/조개,신선수산,100169,바다소풍,위탁매입,협력사배송,60900
10043055,프리미엄견과 THE REAL,23252,프리미엄견과더리얼,과세,식품,가공식품,농산가공식품,가공견과류,가공농산,100955,주식회사행복을파는사람들,위탁매입,협력사배송,79900
10044520,완도 복 전복_특대15미,23306,완도복전복(물수산),면세,식품,수산물,갑각류/패류,전복/소라/조개,신선수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,49900
10045803,[특집]통영싱싱굴8봉+매생이5봉_3,22460,굴매생이세트(삼삼물산),면세,식품,수산물,갑각류/패류,전복/소라/조개,신선수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,40900
10046525,[단품]황실유기면기4개,22935,황실유기홈세트,과세,주방용품,식기/용기,유기,유기,주방용품,100003,(주)산업기업유통센터,위탁매입,협력사배송,179000
10048114,가마솥진국갈비탕600g×10팩_3,22479,가마솥갈비탕,과세,식품,가공식품,축산가공식품,갈비탕,가공축산,100312,(주)뮤트프라자,위탁매입,협력사배송,59900
10048972,고기명가우리소찜갈비선물세트700g×4팩+양념2팩_3,20399,고기명가찜갈비세트,면세,식품,축산물,국내산 육우,국내산 육우,신선축산,100312,(주)뮤트프라자,위탁매입,협력사배송,69900
10050204,"[2만원 할인 특집]완도참전복_왕 특대 15미(110g 이상, 총 1.65kg)",10370,완도전복(바다소풍),면세,식품,수산물,갑각류/패류,전복/소라/조개,신선수산,100169,바다소풍,위탁매입,협력사배송,79000
10051609,마다솜안동참마(10g*30포*8박스)_3,23543,안동참마(마다솜),면세,식품,농산물,약초류,마,건강식품,100989,(주)베스트엠,위탁매입,협력사배송,79900
10053456,[특집]제주은갈치(80cm)_17미/51토막_2,22190,제주은갈치(제주내츄럴푸드),면세,식품,수산물,일반어류,갈치,신선수산,100004,물산업협동조합중앙회,위탁매입,직택배,60900
10053723,[미사용]요리를 9해조(시원3+칼칼3)_3,21000,요리를9해조,과세,식품,가공식품,수산가공식품,수산가공 세트,가공수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,40900
10054149,완도 건매생이 2g*30봉,23642,건매생이,면세,식품,수산물,일반어류,매생이,신선수산,100067,주식회사 뮤도파,위탁매입,협력사배송,40900
10054150,완도 건매생이 2g*60봉,23642,건매생이,면세,식품,수산물,일반어류,매생이,신선수산,100067,주식회사 뮤도파,위탁매입,협력사배송,50900
10054201,디프로매트 S500 금고[중형],23691,디프로매트S500금고,과세,생활용품,수납용품,금고,가정용금고,생활용품,101864,(주)턱프로매트,위탁매입,협력사배송,378000
10054882,사랑海 가자미 세트(33미)_3,23041,가자미(아리울수산),면세,식품,수산물,일반어류,박대,신선수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,40900
10055162,가평잣  100g * 6병,23356,가평잣,면세,식품,농산물,견과,잣,신선농산,102018,주식회사이지트레이더,위탁매입,협력사배송,47900
10055242,평창나또 (노란콩48팩+쥐눈이콩12팩 총60팩)_3,21005,평창낫또,과세,식품,가공식품,장/오일/조미료,청국장,가공농산,100002,산협경제지주㈜,위탁매입,협력사배송,45900
10056238,[단품]로얄에식스 버킹엄가든 벨머그컵 4P,23130,로얄에식스디너세트,과세,주방용품,식기/용기,일상용기,기타,주방용품,101746,(주)리빙온,위탁매입,협력사배송,59000
10056242,[단품]로얄에식스 버킹엄가든 면기 4P,23130,로얄에식스디너세트,과세,주방용품,식기/용기,일상용기,대접,주방용품,101746,(주)리빙온,위탁매입,협력사배송,69000
10056243,[단품]로얄에식스 버킹엄 가든 사각 웨이브 접시 1P,23130,로얄에식스디너세트,과세,주방용품,식기/용기,일상용기,접시,주방용품,101746,(주)리빙온,위탁매입,협력사배송,39000
10056305,엑사이더 런닝바이크 EX360,23814,엑사이더런닝바이크,과세,스포츠/레저,헬스용품,헬스기구,헬스바이크,레포츠기기,101409,주식회사중산물산,위탁매입,협력사배송,169000
10056491,마담엘레강스 실비아 블라우스 2종 세트,23517,마담엘레강스블라우스(실비아),과세,의류,여성의류,여성복,블라우스,의류,100641,(주)패옹킴,위탁매입,협력사배송,39000
10056814,다이나톤 디지털피아노,24080,다이나톤디지털피아노(렌탈),과세,문화/서비스,무형상품,렌탈서비스,디지털피아노,문화서비스,100003,(주)산업기업유통센터,위탁매입,협력사배송,0
10056821,"[김장풀세트]명인 김정배 김장 젓갈 세트(새우젓,제주멸치젓,황석어젓,제주멸치액젓)",23870,김정배김장젓갈,과세,식품,가공식품,수산가공식품,수산가공 세트,가공수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,69900
10056821,김정배 김장 젓갈 세트(추젓),23870,김정배김장젓갈,과세,식품,가공식품,수산가공식품,수산가공 세트,가공수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,75900
10057053,북안동농협 안동마 225포+쉐이크1병,20828,안동참마,면세,식품,농산물,약초류,마,건강식품,100002,산협경제지주㈜,위탁매입,협력사배송,77900
10057581,[NnF]매직 텐션 니트 4종세트,23894,NNF여성니트,과세,의류,여성의류,여성복,니트류,의류,100003,(주)산업기업유통센터,위탁매입,협력사배송,39000
10057862,마담엘레강스 레이스 텐셀 란쥬쉐이퍼 풀패키지(총10종),25035,마담엘레강스란쥬쉐이퍼,과세,속옷,여성언더웨어,맞춤,세트,언더웨어,100641,(주)패옹킴,위탁매입,협력사배송,79000
10058902,여수농협 돌산갓김치 6kg+고들빼기1kg_4,20240,여수농협갓김치,면세,식품,김치,김치류,갓김치,신선농산,100002,산협경제지주㈜,위탁매입,협력사배송,40900
10060150,친환경영양담은누룽지60봉_3,23092,영양담은누룽지,과세,식품,가공식품,농산가공식품,누룽지,가공농산,102134,한국에프엔씨,위탁매입,협력사배송,40900
10060198,"고기명가가마솥수육세트20팩(꼬리7,우족3,탕10)_3",21015,가마솥꼬리수육,과세,식품,가공식품,축산가공식품,곰국,가공축산,100312,(주)뮤트프라자,위탁매입,협력사배송,59900
10060337,[게릴라]완도명가 자른미역과 자른다시마 세트_3,23198,다시마세트(완도명가),면세,식품,수산물,건어물,김/미역/다시마,신선수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,19900
10060369,마담엘레강스 아나스타샤 기모 풀코디(총3종),24189,마담엘레강스상하의아나스타샤,과세,의류,여성의류,여성복,세트,의류,100641,(주)패옹킴,위탁매입,협력사배송,69000
10060675,국민 아로니아 분말 (30g*20병),21154,국민아로니아,과세,식품,건강식품,전통건강식품,분말,건강식품,100067,주식회사 뮤도파,위탁매입,협력사배송,69000
10060969,(종료)이레뜰 세척사과 3kg*3박스,24072,이래뜰세척사과,면세,식품,농산물,청과,사과,신선농산,102587,주식회사선한청지기,위탁매입,협력사배송,40900
10061147,[게릴라]보들보들한 강원도 용대리 먹태 15미,24069,강원도용대리먹태,면세,식품,수산물,일반어류,황태,신선수산,102675,위에이블주식회사,위탁매입,협력사배송,19900
10061710,LED 이포유 홈 조명 렌탈 패키지,24180,이포유LED조명(렌탈),과세,문화/서비스,무형상품,렌탈서비스,LED조명,문화서비스,100003,(주)산업기업유통센터,위탁매입,협력사배송,0
10062150,[단품]베르투G압력솥5.5L.,21336,베르투G압력솥세트,과세,주방용품,조리용품,냄비/솥,압력솥,주방용품,101399,주식회사PN풍년,위탁매입,협력사배송,189000
10062547,고창꿀고구마 5kg+5kg,21039,고창꿀고구마,면세,식품,농산물,야채,고구마,신선농산,102099,산업회사법익스주식회사한국익스증산수식품사업단,위탁매입,협력사배송,30900
10062574,캐스티 무쇠 주물 냄비 세트.,23501,캐스티무쇠주물냄비,과세,주방용품,조리용품,냄비/솥,전골냄비,주방용품,101313,주식회사마이하쥬스,위탁매입,협력사배송,99000
10062745,송금희 간장게장 650g×7팩+양념게장2팩_3,21746,송금희간장게장,과세,식품,가공식품,수산가공식품,게장/전복장,가공수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,69900
10062863,이브라 고급형(EVERA Deluxe),24604,이브라(렌탈),과세,문화/서비스,무형상품,렌탈서비스,의료기기,문화서비스,100003,(주)산업기업유통센터,위탁매입,협력사배송,0
10062864,영광법성포 대장대 굴비 40미,20452,법성포참맛굴비,면세,식품,수산물,일반어류,굴비,신선수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,69900
10063173,[단품]커버퀸 더 레이디 올데이 커버 팩트 본품1개,20440,커버퀸색조,과세,이미용품,화장품,색조화장품,파운데이션,이미용,100328,(주)티나익스,위탁매입,직택배,35000
10063190,[단품]커버퀸 더 레이디 올데이 커버팩트 리필1개,20440,커버퀸색조,과세,이미용품,화장품,색조화장품,파운데이션,이미용,100328,(주)티나익스,위탁매입,직택배,18000
10063192,[단품]커버퀸 더 레이디 립스틱1개(색상 택1),20440,커버퀸색조,과세,이미용품,화장품,색조화장품,립스틱,이미용,100328,(주)티나익스,위탁매입,직택배,23000
10063749,★단독생방송★ [챔피온]네오안마마사지기,24963,챔피온네오안마기,과세,건강,안마/마사지기,안마/마사지기,기타,레포츠기기,102923,(주)챔포온,위탁매입,협력사배송,267000
10063751,[힐링유]반신욕기,24855,힐링유반신욕기,과세,건강,안마/마사지기,안마/마사지기,기타,레포츠기기,100095,(주)엠브이케이익스터내셔널,위탁매입,협력사배송,599000
10064235,[엘라호야시크릿]센슈얼핏 브라팬티17종 시즌2_1,22539,엘라호야보정속옷,과세,속옷,일반,란제리세트,브라팬티세트,언더웨어,100003,(주)산업기업유통센터,직매입,당사배송,79900
10064339,[GV2] 라이크라모달 드로즈 18종 세트,20288,GV2속옷세트,과세,속옷,일반,남성속옷,드로즈,언더웨어,100074,주식회사턱엠코퍼레이션,직매입,당사배송,49900
10064340,[GV2] 라이크라모달 브리프 18종 풀패키지_3,20288,GV2속옷세트,과세,속옷,일반,남성속옷,삼각팬티,언더웨어,100074,주식회사턱엠코퍼레이션,위탁매입,협력사배송,49900
10064342,[GV2] 라이크라모달 주니드로즈 12종 풀패키지_3,20288,GV2속옷세트,과세,속옷,일반,남성속옷,주니어팬티,언더웨어,100074,주식회사턱엠코퍼레이션,위탁매입,협력사배송,39900
10064478,국내산 손질꽃게 8팩_3,24682,손질꽃게(대진),면세,식품,수산물,갑각류/패류,게,신선수산,102569,예준익스터패셔날,위탁매입,협력사배송,59900
10064545,임성근전설의육개장500g×16팩_3,23811,임성근육개장,과세,식품,가공식품,축산가공식품,육개장,가공축산,100002,산협경제지주㈜,위탁매입,협력사배송,49900
10065375,국내산 손질꽃게 9팩_3,24682,손질꽃게(대진),면세,식품,수산물,갑각류/패류,게,신선수산,102569,예준익스터패셔날,위탁매입,협력사배송,59900
10065389,무안 자색양파즙 180포_3,24750,무안자색양파즙,과세,식품,건강식품,전통건강식품,건강즙류,건강식품,100351,형강물산(주),위탁매입,협력사배송,62900
10065511,서일농원 명인 청국장_3,21247,서일농원청국장,과세,식품,가공식품,장/오일/조미료,청국장,가공농산,100782,주식회사벨라씨앤씨,위탁매입,협력사배송,49900
10066422,우먼셰프통5중스텐냄비세트,24883,우먼셰프통5중스텐냄비,과세,주방용품,조리용품,냄비/솥,편수냄비,주방용품,102811,주식회사씨엔에스마케팅,위탁매입,협력사배송,169000
10066637,열우물동치미 450*17봉 + 열무물김치 450*3봉,22762,열우물동치미,면세,식품,김치,김치류,기타,신선농산,100402,(주)카이리진,위탁매입,협력사배송,30900
10066931,지리산 홍화씨 8팩,24074,지리산홍화씨분말,과세,식품,건강식품,전통건강식품,분말,건강식품,100002,산협경제지주㈜,위탁매입,협력사배송,59900
10067049,[단품]파뷔에 스페셜리시에 플레이트 1P,24903,파뷔에폴란드식기,과세,주방용품,식기/용기,기타,기타,주방용품,101991,주식회사파뷔에,위탁매입,협력사배송,89000
10067885,"올바른한우한마리1.6kg(등심,안심,채끝,부채,국거리,불고기)_3",21217,올바른한우구이,면세,식품,축산물,한우,한우구이,신선축산,101104,주식회사영진엠앤에프,위탁매입,협력사배송,79900
10068569,안동제비원 전통메주,24942,안동제비원메주,면세,식품,농산물,세트,세트,신선농산,100002,산협경제지주㈜,위탁매입,협력사배송,99000
10069180,우리소LA갈비400g×10팩_3,25016,우리소LA갈비,과세,식품,가공식품,축산가공식품,양념구이,가공축산,100312,(주)뮤트프라자,위탁매입,협력사배송,79900
10069264,은나노스텝 다용도 세정제 1세트,23903,은나노스텝다용도세정제,과세,생활용품,청소용품,기타청소용품,기타,생활용품,102574,주식회사한국뮤라클포플사,위탁매입,협력사배송,39800
10069477,아이디오 폴딩선반 5단+3단(벤더),25491,아이디오폴딩선반,과세,생활용품,수납용품,정리용품,공간활용수납장,생활용품,100929,(주)올리브엠앤씨,위탁매입,협력사배송,128000
10069484,[단품]리클라이닝의자,24963,챔피온네오안마기,과세,가구,학생/서재가구,의자,기타,레포츠기기,102923,(주)챔포온,위탁매입,협력사배송,100000
10070617,1세트,25486,프리모서랍장,과세,생활용품,수납용품,정리용품,공간활용수납장,생활용품,103045,턱모로쥬포플,위탁매입,협력사배송,60900
10070759,(중단)김규흔 명인 한과 세트 1+1_수수강정_3,25468,김규흔명인한과,과세,식품,가공식품,빵/떡/과자류,한과,가공농산,100002,산협경제지주㈜,위탁매입,협력사배송,49900
10070777,(중단)김규흔 명인 한과 세트_수수강정_3,25468,김규흔명인한과,과세,식품,가공식품,빵/떡/과자류,한과,가공농산,100002,산협경제지주㈜,위탁매입,협력사배송,40000
10070789,에버홈 짤스믹(MX-M4300A)_3,20228,에버홈짤스믹믹서기,과세,가전,주방가전,믹서기/회전조리기,대형믹서기,가전,101239,주식회사에버홈,위탁매입,협력사배송,129000
10070934,에버홈 양면 석쇠구이기(EV-G1000)_3,22123,에버홈석쇠구이기,과세,가전,주방가전,조리기,바베큐그릴,가전,101239,주식회사에버홈,위탁매입,협력사배송,79800
10071035,국내산 손질곰치(물메기)_3,25499,곰치(아리울),면세,식품,수산물,일반어류,기타,신선수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,43900
10071776,은나노스텝 주방세제,23903,은나노스텝다용도세정제,과세,생활용품,청소용품,기타청소용품,기타,생활용품,102574,주식회사한국뮤라클포플사,위탁매입,협력사배송,20000
10071779,은나노스텝 다용도세제,23903,은나노스텝다용도세정제,과세,생활용품,청소용품,기타청소용품,기타,생활용품,102574,주식회사한국뮤라클포플사,위탁매입,협력사배송,15000
10071845,[르보치]비알레 여행캐리어 7종 패키지,23378,르보치비알레여행캐리어,과세,패션잡화,가방류,남여공용가방,여행용가방,잡화,100117,(주)코엘익스터트레이드,위탁매입,협력사배송,99000
10072027,[GV2] 면100% 트렁크 15종세트,20288,GV2속옷세트,과세,속옷,일반,남성속옷,트렁크,언더웨어,100074,주식회사턱엠코퍼레이션,위탁매입,협력사배송,49900
10072097,가평잣  100g * 6병 + 쇼핑백,23356,가평잣,면세,식품,농산물,견과,잣,신선농산,102018,주식회사이지트레이더,위탁매입,협력사배송,49900
10072122,지나송 로망 이중암막커튼 (슈퍼특대),24847,지나송로망암막커튼,과세,침구/침장,침장류,커튼,기타,침구,100952,(주)레뮤안,위탁매입,협력사배송,169000
10072126,지나송 로망 이중암막커튼 (특대형),24847,지나송로망암막커튼,과세,침구/침장,침장류,커튼,기타,침구,100952,(주)레뮤안,위탁매입,협력사배송,139000
10072127,지나송 로망 이중암막커튼 (대형),24847,지나송로망암막커튼,과세,침구/침장,침장류,커튼,기타,침구,100952,(주)레뮤안,위탁매입,협력사배송,119000
10072128,지나송 로망 이중암막커튼 (중형),24847,지나송로망암막커튼,과세,침구/침장,침장류,커튼,기타,침구,100952,(주)레뮤안,위탁매입,협력사배송,99000
10072470,[단품]마담엘레강스 란쥬쉐이퍼+팬티 세트(총2종),25035,마담엘레강스란쥬쉐이퍼,과세,속옷,여성언더웨어,맞춤,세트,언더웨어,100641,(주)패옹킴,위탁매입,협력사배송,69000
10072524,[단품]우먼셰프통5중스텐 4.5L곰솥(24양수),24883,우먼셰프통5중스텐냄비,과세,주방용품,조리용품,냄비/솥,편수냄비,주방용품,102811,주식회사씨엔에스마케팅,위탁매입,협력사배송,158000
10072528,[소르디노]글리터 컴포트 웨지힐 슈즈_3,25589,소르디노컴포트웻지,과세,패션잡화,신발류,여성화,통굽/웨지,잡화,100875,(주)마나스코리아,위탁매입,협력사배송,39800
10072565,[단품]우먼셰프 펀칭마스터볼 20cm,24883,우먼셰프통5중스텐냄비,과세,주방용품,조리용품,냄비/솥,편수냄비,주방용품,102811,주식회사씨엔에스마케팅,위탁매입,협력사배송,20000
10072566,[단품]우먼셰프 펀칭마스터볼 24cm,24883,우먼셰프통5중스텐냄비,과세,주방용품,조리용품,냄비/솥,편수냄비,주방용품,102811,주식회사씨엔에스마케팅,위탁매입,협력사배송,30000
10072593,김순자명장 포기김치 10kg,20251,한성김치,면세,식품,김치,김치류,배추김치,신선농산,100056,(주)유래에프앤에스,위탁매입,협력사배송,40900
10072687,안동제비원 전통메주+누름독,24942,안동제비원메주,면세,식품,농산물,세트,세트,신선농산,100002,산협경제지주㈜,위탁매입,협력사배송,109000
10072691,디프로매트 S700 금고[대형],23691,디프로매트S500금고,과세,생활용품,수납용품,금고,가정용금고,생활용품,101864,(주)턱프로매트,위탁매입,협력사배송,778000
10072876,참맛 영광 법성포 보리굴비_2,25607,참맛보리굴비,면세,식품,수산물,일반어류,조기,신선수산,100004,물산업협동조합중앙회,위탁매입,직택배,99000
10073198,까사마루 오토만 스툴 3종 세트,21201,까사마루스툴,과세,생활용품,수납용품,정리용품,기타수납정리용품,생활용품,102269,주식회사벨라이트,위탁매입,직택배,35900
10073305,아이디오 폴딩선반 5단,25491,아이디오폴딩선반,과세,생활용품,수납용품,정리용품,공간활용수납장,생활용품,100929,(주)올리브엠앤씨,위탁매입,협력사배송,89000
10073306,아이디오 폴딩선반 3단,25491,아이디오폴딩선반,과세,생활용품,수납용품,정리용품,공간활용수납장,생활용품,100929,(주)올리브엠앤씨,위탁매입,협력사배송,69000
10073935,[단품]파뷔에 유니캇 머그 4P,24903,파뷔에폴란드식기,과세,주방용품,식기/용기,"컵,글라스류",머그컵,주방용품,101991,주식회사파뷔에,위탁매입,협력사배송,59000
10073937,[단품]파뷔에 수저꽂이 1P,24903,파뷔에폴란드식기,과세,주방용품,식기/용기,기타,기타,주방용품,101991,주식회사파뷔에,위탁매입,협력사배송,59000
10074515,(중단)봉동편강세트(편강7통+농축액4병+가루1통)_3,21147,봉동편강,과세,식품,가공식품,전분및 분말류,세트,가공농산,102863,영산조합법익스완주봉상생강조합,위탁매입,협력사배송,49900
10074636,녹용십칠품 (48g x 4ea) x 3박스_3,25512,녹용십칠품,과세,식품,건강식품,전통건강식품,세트,건강식품,102921,주식회사명신,위탁매입,협력사배송,149000
10074722,[애플트리]이너뷰티 콜라겐C 프리미엄_단품3,23267,애플트리콜라겐C,과세,식품,건강식품,기타,기타,건강식품,101030,(주)필스빌,위탁매입,협력사배송,30000
10074939,제주굴비 60미_2,25689,제주해담굴비,면세,식품,수산물,일반어류,굴비,신선수산,100004,물산업협동조합중앙회,위탁매입,직택배,60900
10074946,제주양배추브로콜리진액 4박스(120포)_2,20778,제주양배추브로콜리,과세,식품,건강식품,기타,기타,건강식품,100883,홀푸드코리아주식회사,위탁매입,직택배,70900
10074959,관절살리도M 24주분(6박스)_3,21688,관절살리도,과세,식품,건강식품,건강기능식품,글루코사민함유제품,건강식품,101030,(주)필스빌,위탁매입,협력사배송,69900
10075053,[아날도바시니] 한채아의 디즈니 롱 스타디움 점퍼,25707,아날도바시니디즈니점퍼,과세,의류,여성의류,여성복,기타,의류,102442,(주)옹월과시선,위탁매입,협력사배송,39000
10075250,[마담엘레강스] 아이린 캐시미어 코트,23830,마담엘레강스캐시미어코트,과세,의류,여성의류,여성복,하프코트,의류,100641,(주)패옹킴,위탁매입,협력사배송,99000
10076228,인터쿡 다이아몬드 프라이팬 9종_3,20474,인터쿡다이아몬드,과세,주방용품,조리용품,팬,팬세트,주방용품,100372,(주)익스터메탈,위탁매입,직택배,39900
10076266,[코알라비]여성 엘라스틱 밴드 스니커즈,23377,코알라비스니커즈,과세,패션잡화,신발류,여성화,캐쥬얼화,잡화,102127,유니초이스리뮤티드,위탁매입,협력사배송,39800
10076446,윤미월명인 숭침채 5kg,23640,윤미월명인김치,면세,식품,김치,김치류,배추김치,신선농산,102568,(주)옥수,위탁매입,협력사배송,49900
10076671,[애플트리]이너뷰티 콜라겐C 프리미엄(6개월)_3,23267,애플트리콜라겐C,과세,식품,건강식품,기타,기타,건강식품,101030,(주)필스빌,위탁매입,협력사배송,99000
10077605,[바네사리찌] 플라워 엣지 와이어 자켓,25820,바네사리찌봄자켓,과세,의류,여성의류,여성복,기타,의류,100003,(주)산업기업유통센터,위탁매입,협력사배송,39000
10077626,스카겐 5단 서랍장,25813,스카겐서랍장,과세,생활용품,수납용품,정리용품,공간활용수납장,생활용품,103226,(주)홈즈코리아,위탁매입,협력사배송,60900
10078420,[게릴라]홍대감육포15g×25봉_3,10090,홍대감육포(청미),과세,식품,가공식품,축산가공식품,육포,가공축산,100002,산협경제지주㈜,위탁매입,협력사배송,19900
10078521,월드컵 남성슈즈 2종(다이얼트레킹화+런닝화),37197,월드컵크리켓다이얼세트,과세,패션잡화,신발류,남성화,캐쥬얼화,잡화,100092,주식회사승익스익스터내셔널,위탁매입,협력사배송,59800
10078522,월드컵 여성슈즈 2종(다이얼트레킹화+런닝화),37197,월드컵크리켓다이얼세트,과세,패션잡화,신발류,여성화,캐쥬얼화,잡화,100092,주식회사승익스익스터내셔널,위탁매입,협력사배송,59800
10078784,닥터 슈퍼 루테인 13박스_3,20278,닥터슈퍼루테인,과세,식품,건강식품,건강기능식품,개별인정형제품,건강식품,100503,(주)에이치엘사이언스,위탁매입,협력사배송,59900
10078885,[2020년] 귤로장생 햇 천혜향 2kg*3박스,21178,귤로장생,면세,식품,농산물,청과,한라봉,신선농산,100002,산협경제지주㈜,위탁매입,직택배,46900
10078995,솔티애떡세트(총100개)_3,25690,솔티애떡세트,과세,식품,가공식품,빵/떡/과자류,떡,가공농산,100067,주식회사 뮤도파,위탁매입,협력사배송,40900
10079429,관절살리도M 48주분(12박스)_3,21688,관절살리도,과세,식품,건강식품,건강기능식품,글루코사민함유제품,건강식품,101030,(주)필스빌,위탁매입,협력사배송,119800
10079816,[마드미젠]소가죽 뷰티 컴포트화,25886,마드미젠뷰티로퍼,과세,패션잡화,신발류,여성화,캐쥬얼화,잡화,100517,동성제일글로벌(주),위탁매입,협력사배송,29000
10080540,[단품] 더스팅 소가죽 벨트1종_2,23919,더스팅신사화,과세,패션잡화,신변잡화,신변잡화,벨트,잡화,102170,(주)대신제화,위탁매입,직택배,59000
10081119,[라미카]오가닉 에어로쿨 란쥬쉐이퍼 6종 패키지_1_D,25924,라미카쿨란쥬쉐이퍼,과세,속옷,여성언더웨어,맞춤,세트,언더웨어,102804,주식회사한규람21,직매입,당사배송,59900
10081171,[게릴라]뱅어포 5장(30g이상)*6봉 + 소스(500g),25927,국내산뱅어포,면세,식품,수산물,건어물,멸치,신선수산,100351,형강물산(주),위탁매입,협력사배송,19900
10081228,국내산 동해 멍게 젓갈 11통_3,24089,동해멍게젓갈,과세,식품,가공식품,수산가공식품,수산가공 세트,가공수산,101089,주식회사아이비에이치,위탁매입,협력사배송,40900
10081232,국내산 손질문어 180g*10팩,25936,손질문어(삼삼물산),면세,식품,수산물,일반어류,문어,신선수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,59900
10082037,까사마루 오토만 벤치 1종,21201,까사마루스툴,과세,생활용품,수납용품,정리용품,기타수납정리용품,생활용품,102269,주식회사벨라이트,위탁매입,협력사배송,25900
10082758,[리뉴얼]청양 고지베리 구기자분말(30g*12병)_3,21442,고지베리구기자,과세,식품,건강식품,전통건강식품,분말,건강식품,101839,주식회사바이옹믹스,위탁매입,협력사배송,99000
10083007,안동제비원 전통고추장 담그기_농협,26055,제비원고추장담그기,면세,식품,농산물,세트,세트,신선농산,100002,산협경제지주㈜,위탁매입,협력사배송,69900
10084065,제주흑돼지모둠구이3.25kg(구이)13팩_3,20867,제주흑돼지모듬구이,면세,식품,축산물,돈육,돼지고기,신선축산,100784,(주)좋은꿈마케팅,위탁매입,협력사배송,30900
10084070,[단품]녹용십칠품 (48g x 4ea) x 1박스_3,25512,녹용십칠품,과세,식품,건강식품,전통건강식품,세트,건강식품,102921,주식회사명신,위탁매입,협력사배송,99000
10085721,스카겐 상단커버+하단캡 세트,25813,스카겐서랍장,과세,생활용품,수납용품,정리용품,공간활용수납장,생활용품,103226,(주)홈즈코리아,위탁매입,협력사배송,13900
10086704,국내산 손질문어 180g*10팩+1팩더,25936,손질문어(삼삼물산),면세,식품,수산물,일반어류,문어,신선수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,59900
10087760,영광법성포굴비 중장대 60미_3,20452,법성포참맛굴비,면세,식품,수산물,일반어류,굴비,신선수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,60900
10088103,[단품]인터쿡 다이아몬드후라이팬 28cm,20474,인터쿡다이아몬드,과세,주방용품,조리용품,팬,후라이팬,주방용품,100372,(주)익스터메탈,위탁매입,협력사배송,28000
10088738,알싸한 여수돌산 갓김치6kg+고들빼기1kg,10147,여수갓김치,면세,식품,김치,김치류,갓김치,신선농산,100002,산협경제지주㈜,위탁매입,협력사배송,40900
10089156,감비천 다이어트(13주분)_3,26399,감비천,과세,식품,건강식품,건강기능식품,다이어트식품,건강식품,103576,(주)파익스씨티,위탁매입,협력사배송,99000
